id,Long,Lat,Class,Location,HH_meanW3,HV_meanW3,VV_meanW3,VH_meanW3,HA_Aniso_meanW3,HA_Iso_meanW3,HA_Alpha_meanW3,YA_Double_meanW3,YA_Vol_meanW3,YA_Surf_meanW3,YA_He_meanW3,RVI_meanW3,RFDI_meanW3,RFDI_VH_meanW3,block
48,102.4874464,2.953893332,Healthy,Serting_Basemap,0.22430775066216788,0.0187441214091248,0.021085886595149834,0.08406637112299602,,,,,,,,0.5300904081694483,0.8457603206312543,0.4547767456209388,51243_1476
49,102.4874453,2.953821242,Healthy,Serting_Basemap,0.16304363641473982,0.01937043832408057,0.02168458979576826,0.08351009256309933,,,,,,,,0.6934448861624046,0.7876212309624128,0.3225809813600068,51243_1476
50,102.4874453,2.95373985,Healthy,Serting_Basemap,0.13542918033070034,0.022432974229256313,0.023615135293867853,0.08620546758174896,,,,,,,,0.8801116247926103,0.7157903451680538,0.22209394249763628,51243_1476
51,102.4874464,2.953589856,Healthy,Serting_Basemap,0.10745808730522792,0.023887415520019002,0.020280407845146127,0.09285405360990101,,,,,,,,1.0888023622367622,0.636265954963059,0.0729063831508573,51243_1476
53,102.4874441,2.953435212,Healthy,Serting_Basemap,0.1449264163772265,0.02358938753604889,0.019259968876010843,0.09725275387366612,,,,,,,,0.8928391982761926,0.7200335281527793,0.19685286085575174,51243_1476
55,102.4875139,2.95354916,Healthy,Serting_Basemap,0.1308772729502784,0.02795415661401219,0.025834853450457256,0.09973050405581792,,,,,,,,1.0517956472226568,0.6480022034593964,0.13506382698289093,51243_1476
57,102.487515,2.954008444,Healthy,Serting_Basemap,0.26514268749290043,0.02530361318753825,0.02592927383051978,0.0960343877474467,,,,,,,,0.5924531337827126,0.8257604718789077,0.4682143783154557,51243_1477
60,102.4876464,2.954165414,Healthy,Serting_Basemap,0.22443934116098616,0.024148176941606734,0.023448306032352977,0.14998524553245968,,,,,,,,0.6522479770368237,0.8057168990146907,0.1988493765487804,51243_1477
62,102.487779,2.954160763,Healthy,Serting_Basemap,0.2079464528295729,0.018285681390100054,0.020754162636068132,0.1694743533929189,,,,,,,,0.5514545942173742,0.8383458525627085,0.10193423044614675,51243_1477
63,102.4879127,2.9541596,Healthy,Serting_Basemap,0.19920048779911464,0.028190159135394625,0.02548664580616686,0.1407930552959442,,,,,,,,0.8023742044048368,0.7520552448798505,0.1717898286287169,51243_1477
64,102.4878453,2.95412123,Healthy,Serting_Basemap,0.18925144109461042,0.023128642390171688,0.026052904418773122,0.153662900129954,,,,,,,,0.7074016892829066,0.7821957500847395,0.1037825972444545,51243_1477
65,102.487779,2.954088673,Healthy,Serting_Basemap,0.19640328652328914,0.01819160601331128,0.02120940076808135,0.16239593260818058,,,,,,,,0.5729732192419719,0.8304563002569264,0.09478101428823826,51243_1477
66,102.4877162,2.954042163,Unhealthy,Serting_Basemap,0.20827819572554696,0.02101647232969602,0.023285936357246503,0.15116540259785122,,,,,,,,0.6145233006126054,0.8166859045790579,0.15889222507813391,51243_1477
67,102.4876429,2.954011932,Unhealthy,Serting_Basemap,0.195074791709582,0.02388579501873917,0.023284186091687944,0.1247276986638705,,,,,,,,0.7180173314990816,0.7818256209883485,0.2199704353883017,51243_1477
70,102.4875127,2.95385845,Healthy,Serting_Basemap,0.2238723122411304,0.02168985642492771,0.024377956572506163,0.09281803750329548,,,,,,,,0.5949966132070839,0.8233452934321988,0.4138246550411081,51243_1476
73,102.4875778,2.953744501,Healthy,Serting_Basemap,0.1336333362592591,0.024786091306143336,0.0262889980028073,0.10622966951794094,,,,,,,,0.9465103593526165,0.6870826806149067,0.11424715809145003,51243_1476
75,102.4875732,2.953586368,Healthy,Serting_Basemap,0.1698831112848388,0.030071949379311666,0.028950897148913808,0.10918698459863663,,,,,,,,0.9289425404761927,0.699212920348925,0.21749419798653594,51243_1476
76,102.4875767,2.953513115,Healthy,Serting_Basemap,0.17911910265684128,0.027080874062246747,0.028683153084582753,0.10953969260056813,,,,,,,,0.8270105407644541,0.7373338785664387,0.2410437901059838,51243_1476
78,102.4875092,2.953396841,Healthy,Serting_Basemap,0.16932765477233463,0.024427562952041626,0.022672157941593066,0.10261933339966668,,,,,,,,0.8113618293966741,0.7478513018752279,0.24529898941361397,51243_1476
79,102.4875836,2.953892169,Healthy,Serting_Basemap,0.19882898198233712,0.025059978374176554,0.026585060068302684,0.10965070707930459,,,,,,,,0.7276046798844091,0.7761392224585629,0.28908961615690865,51243_1476
80,102.4876511,2.953932865,Healthy,Serting_Basemap,0.1914752357535892,0.023845358441273373,0.023304376751184464,0.12283965200185776,,,,,,,,0.7267978364468136,0.7785129793976548,0.21836567857750805,51243_1476
81,102.4876476,2.953854962,Healthy,Serting_Basemap,0.17378245956367916,0.024984834922684565,0.024968788855605654,0.12607497887478936,,,,,,,,0.8036263325821017,0.748602153213907,0.15910054103486745,51243_1476
82,102.4876418,2.953779383,Healthy,Serting_Basemap,0.13638585640324485,0.025313578132126067,0.026536876128779516,0.10326668785678016,,,,,,,,0.9482965605765256,0.6869057927770447,0.13819660729547742,51243_1476
83,102.4876453,2.953702642,Healthy,Serting_Basemap,0.1437007486820221,0.0284702204581764,0.02684575381378333,0.09767123311758041,,,,,,,,1.0012080704462896,0.6692796631121574,0.19069949718794363,51243_1476
84,102.4876488,2.953624739,Healthy,Serting_Basemap,0.15646958185566795,0.031548079724113144,0.028535694090856448,0.10244621750381258,,,,,,,,1.0172639162338564,0.6644136571103304,0.2086522509846877,51243_1476
