estate,feature_set,method,n_clusters,ari,ami,silhouette_sample,max_cluster_size,max_cluster_unhealthy_rate,max_cluster_enrichment,unhealthy_in_max_cluster,total_unhealthy,bic,aic
AHCensus_Basemap,local14,gmm_diag,6,0.00038903280353759853,0.0007630827383765852,,324,0.08641975308641975,1.35625,28,160,86652.72001930595,85644.40052917169
AHCensus_Basemap,local14,gmm_diag,7,-0.00035829176388778685,-0.0005271413506768694,,238,0.08403361344537816,1.3188025210084036,20,160,85730.11551016336,84552.77136561353
AHCensus_Basemap,local14,gmm_diag,8,0.00013501082352421092,0.0017246320057736685,,211,0.0995260663507109,1.5619372037914694,21,160,85139.20408950275,83792.83529053735
AHCensus_Basemap,all14_plus_local,kmeans,2,0.002136255826407135,0.0001764384275117518,0.14674708553600496,1126,0.07015985790408526,1.101071269982238,79,160,,
AHCensus_Basemap,all14_plus_local,kmeans,3,-0.004443222703162335,0.0015201084046544164,0.13176386456890193,912,0.07236842105263158,1.135731907894737,66,160,,
AHCensus_Basemap,all14_plus_local,kmeans,4,-0.002445598149306617,0.00101847702929661,0.09284332934408902,864,0.07175925925925926,1.126171875,62,160,,
AHCensus_Basemap,all14_plus_local,kmeans,5,-0.0009028737211364146,0.00010350271589470132,0.08577383794981312,576,0.07465277777777778,1.17158203125,43,160,,
AHCensus_Basemap,all14_plus_local,kmeans,6,-0.0011024986841320235,-8.621953799952104e-05,0.0901598073148385,520,0.07115384615384615,1.1166706730769231,37,160,,
AHCensus_Basemap,all14_plus_local,kmeans,7,-0.0014880912877241537,-9.873316188586928e-05,0.09029305945919254,497,0.0744466800804829,1.1683475855130787,37,160,,
AHCensus_Basemap,all14_plus_local,kmeans,8,-0.0012784813346356713,0.00034171033810098217,0.08481345135377076,396,0.07575757575757576,1.1889204545454546,30,160,,
AHCensus_Basemap,all14_plus_local,kmeans,9,-0.0014096989866839893,0.00044408645371974965,0.08955195552312674,359,0.08913649025069638,1.3988857938718664,32,160,,
AHCensus_Basemap,all14_plus_local,kmeans,10,-0.0011410904797684216,0.00032233907465948404,0.07918000716386751,351,0.08547008547008547,1.341346153846154,30,160,,
AHCensus_Basemap,all14_plus_local,kmeans,11,-0.000725549796577997,-0.00030725538420235557,0.0771432261016303,251,0.0796812749003984,1.2504980079681276,20,160,,
AHCensus_Basemap,all14_plus_local,kmeans,12,1.81793458103078e-05,0.0003331924592070228,0.07279748876847811,247,0.08906882591093117,1.3978238866396762,22,160,,
AHCensus_Basemap,all14_plus_local,gmm_diag,2,0.0025653541191805957,0.0003008463914871045,,1115,0.07085201793721974,1.1119338565022423,79,160,188447.59705366773,187788.98374508292
AHCensus_Basemap,all14_plus_local,gmm_diag,3,-0.00263279692332197,0.0005270056398055402,,883,0.072480181200453,1.1374858437146094,64,160,182249.54542574062,181258.71124468383
AHCensus_Basemap,all14_plus_local,gmm_diag,4,-0.002362813933510006,0.0009885459738903323,,635,0.07244094488188976,1.1368700787401576,46,160,177988.99667561706,176665.94162208828
AHCensus_Basemap,all14_plus_local,gmm_diag,5,-0.000933411514223609,0.0006310959688451335,,576,0.08159722222222222,1.2805664062500002,47,160,175000.79262150353,173345.51669550277
AHCensus_Basemap,all14_plus_local,gmm_diag,6,-0.0012267501584971073,0.0007000830058864437,,455,0.08351648351648351,1.3106868131868132,38,160,172312.08720972107,170324.59041124833
AHCensus_Basemap,all14_plus_local,gmm_diag,7,0.0002349108331952345,0.0010961656825753837,,416,0.0889423076923077,1.3958383413461541,37,160,170788.49590637293,168468.7782354282
AHCensus_Basemap,all14_plus_local,gmm_diag,8,-0.00101549025335599,0.0003697897265958662,,407,0.08353808353808354,1.3110257985257987,34,160,169447.03738909558,166795.09884567888
Palong_Basemap,all14,kmeans,2,-0.04582399938673473,0.007956243729154702,0.3494535661060717,1761,0.10278250993753549,1.1157041453719478,181,200,,
Palong_Basemap,all14,kmeans,3,-0.010391498358491425,0.004063447126067923,0.2059550714597611,830,0.10602409638554217,1.1508915662650603,88,200,,
Palong_Basemap,all14,kmeans,4,-0.009502141961818736,0.005366636104837267,0.19634037929934176,911,0.10098792535675083,1.0962239297475302,92,200,,
Palong_Basemap,all14,kmeans,5,-0.006171027589270295,0.0051841671279712715,0.15746508472396972,580,0.11724137931034483,1.2726551724137931,68,200,,
Palong_Basemap,all14,kmeans,6,-0.004671871229560001,0.00422229055276746,0.15024240155686178,472,0.12076271186440678,1.3108792372881357,57,200,,
Palong_Basemap,all14,kmeans,7,-0.0039944578627924094,0.005831187644172987,0.14968942930523035,418,0.12679425837320574,1.3763516746411484,53,200,,
Palong_Basemap,all14,kmeans,8,-0.0038730606755822215,0.007149226616856191,0.1529655038295783,409,0.1295843520782396,1.4066381418092908,53,200,,
Palong_Basemap,all14,kmeans,9,-0.004529754481353442,0.005813981251497147,0.16394922844367635,197,0.12690355329949238,1.37753807106599,25,200,,
Palong_Basemap,all14,kmeans,10,-0.0031899261827466985,0.006874476111431443,0.1619216598839868,126,0.14285714285714285,1.5507142857142857,18,200,,
Palong_Basemap,all14,kmeans,11,-0.004081078404742108,0.0073302800219347,0.165687329285249,95,0.1368421052631579,1.4854210526315792,13,200,,
Palong_Basemap,all14,kmeans,12,-0.004630933173277952,0.007607517087700599,0.1590624470626105,332,0.13855421686746988,1.5040060240963855,46,200,,
Palong_Basemap,all14,gmm_diag,2,-0.02741660105171318,0.003821550016648323,,1614,0.10223048327137546,1.1097118959107806,165,200,74009.55156595638,73685.62380527332
Palong_Basemap,all14,gmm_diag,3,-0.0062015642492407146,0.0021337867857090733,,743,0.10363391655450875,1.1249461641991925,77,200,68539.12939860912,68050.39628599958
Palong_Basemap,all14,gmm_diag,4,-0.005691738430927118,0.003603475807629122,,646,0.10835913312693499,1.1762383900928792,70,200,65415.49990265584,64761.96143811984
Palong_Basemap,all14,gmm_diag,5,-0.004942900529603054,0.0038664517710318294,,619,0.10823909531502424,1.174935379644588,67,200,63265.66429157173,62447.320475109256
Palong_Basemap,all14,gmm_diag,6,-0.004759074339722648,0.004004407274514767,,574,0.11498257839721254,1.2481358885017422,66,200,61424.5649717746,60441.41580338565
Palong_Basemap,all14,gmm_diag,7,-0.0027115459602618046,0.005530382468709497,,346,0.1329479768786127,1.4431502890173409,46,200,60470.414468660034,59322.45994834462
