id,Long,Lat,Class
653,102.437756,2.947286,Healthy
654,102.437801,2.947355,Healthy
655,102.4379,2.947359,Healthy
656,102.438013,2.947568,Healthy
657,102.438006,2.947438,Healthy
658,102.438212,2.947641,Healthy
659,102.43796,2.947638,Healthy
660,102.437383,2.948106,Healthy
661,102.437415,2.948173,Healthy
662,102.434597876,2.947050136,Healthy
663,102.437510708,2.946952279,Healthy
664,102.435122,2.945893,Healthy
665,102.434098,2.945603,Healthy
666,102.433864,2.94547,Healthy
667,102.433595,2.944986,Healthy
668,102.433987,2.945673,Unhealthy
669,102.4314,2.947227,Healthy
670,102.43442,2.944926,Healthy
671,102.435241,2.945963,Healthy
672,102.435831,2.944941,Healthy
673,102.434582,2.945061,Unhealthy
674,102.433509,2.944984,Healthy
675,102.433939,2.945745,Unhealthy
676,102.433711,2.945058,Healthy
677,102.434812,2.945473,Unhealthy
678,102.433632,2.944918,Healthy
679,102.434022,2.945606,Healthy
680,102.43355,2.945057,Healthy
681,102.433905,2.945266,Healthy
682,102.433827,2.945265,Healthy
683,102.433976,2.945814,Healthy
684,102.433896,2.945676,Unhealthy
685,102.433746,2.945266,Unhealthy
686,102.434691,2.945406,Healthy
687,102.431401,2.947091,Unhealthy
688,102.433868,2.945331,Healthy
689,102.431907,2.948111,Healthy
690,102.434023,2.945746,Unhealthy
691,102.433637,2.945194,Unhealthy
692,102.434051,2.945956,Healthy
693,102.435,2.945681,Healthy
694,102.434201,2.945946,Healthy
695,102.435201,2.94589,Healthy
696,102.431521,2.947428,Healthy
697,102.433901,2.945533,Healthy
698,102.431436,2.947293,Unhealthy
699,102.431478,2.947355,Healthy
700,102.43371,2.944918,Healthy
701,102.4365,2.945705,Healthy
702,102.433906,2.945402,Healthy
703,102.431326,2.947089,Healthy
704,102.432955,2.946628,Unhealthy
705,102.435032,2.945891,Healthy
706,102.433557,2.944913,Healthy
707,102.434459,2.944997,Healthy
708,102.437011,2.946058,Healthy
709,102.433941,2.945467,Healthy
710,102.434932,2.945406,Healthy
711,102.434847,2.945688,Healthy
712,102.434776,2.945407,Healthy
713,102.434014,2.945882,Healthy
714,102.434725,2.9452,Healthy
715,102.433179,2.947041,Healthy
716,102.43367,2.945128,Healthy
717,102.434775,2.945132,Healthy
718,102.435158,2.945825,Healthy
719,102.437498,2.946538,Healthy
720,102.435083,2.945689,Healthy
721,102.436581,2.94584,Healthy
722,102.434135,2.945812,Healthy
723,102.43662,2.945911,Healthy
724,102.433784,2.945333,Unhealthy
725,102.435117,2.945754,Healthy
726,102.434653,2.944932,Unhealthy
727,102.432715,2.946354,Healthy
728,102.433748,2.944988,Healthy
729,102.434535,2.944997,Healthy
730,102.437168,2.946327,Healthy
731,102.431872,2.948047,Healthy
732,102.434504,2.944924,Healthy
733,102.433746,2.945129,Healthy
734,102.433986,2.945397,Unhealthy
735,102.432753,2.946015,Unhealthy
736,102.436426,2.945569,Healthy
737,102.434101,2.945736,Healthy
738,102.433635,2.945059,Healthy
739,102.431717,2.947773,Unhealthy
740,102.433107,2.947041,Healthy
741,102.43156,2.947097,Healthy
742,102.43473,2.945477,Healthy
743,102.43736,2.946668,Healthy
744,102.433587,2.945123,Healthy
745,102.433943,2.945606,Healthy
746,102.434025,2.945465,Healthy
747,102.436032,2.94529,Healthy
748,102.431798,2.947774,Healthy
749,102.431642,2.947498,Healthy
750,102.432073,2.947984,Healthy
751,102.431876,2.947918,Healthy
752,102.436071,2.945357,Healthy
753,102.434575,2.944926,Healthy
754,102.434097,2.94588,Healthy
755,102.434964,2.945895,Healthy
756,102.431958,2.94792,Healthy
757,102.433659,2.945269,Unhealthy
758,102.431521,2.947294,Healthy
759,102.437584,2.946952,Healthy
760,102.431994,2.948112,Healthy
761,102.434965,2.945616,Healthy
762,102.434538,2.945129,Healthy
763,102.431953,2.948049,Healthy
764,102.43379,2.945057,Healthy
765,102.433256,2.947043,Healthy
766,102.434854,2.945541,Healthy
767,102.43635,2.945703,Healthy
768,102.432948,2.946764,Healthy
769,102.436462,2.945776,Healthy
770,102.431878,2.947641,Healthy
771,102.433784,2.94519,Healthy
772,102.435035,2.94562,Healthy
773,102.43611,2.945426,Healthy
774,102.436386,2.945772,Healthy
775,102.434173,2.945878,Healthy
776,102.431484,2.947227,Unhealthy
777,102.432594,2.946005,Healthy
778,102.431642,2.947362,Healthy
779,102.436227,2.945496,Healthy
780,102.431912,2.947981,Healthy
781,102.437325,2.946601,Healthy
782,102.433981,2.945535,Healthy
783,102.432792,2.946487,Healthy
784,102.433298,2.946977,Healthy
785,102.436348,2.945428,Healthy
786,102.432551808,2.946078184,Healthy
787,102.43306,2.946969,Healthy
788,102.434811,2.945616,Healthy
789,102.436192,2.945568,Healthy
790,102.434811,2.94534,Healthy
791,102.431797,2.947918,Healthy
792,102.436154,2.945085,Healthy
793,102.437321,2.946324,Healthy
794,102.437656,2.947085,Healthy
795,102.433834,2.945124,Healthy
796,102.433059,2.94656,Healthy
797,102.431681,2.947572,Healthy
798,102.431483,2.947097,Healthy
799,102.43646,2.945909,Healthy
800,102.431444,2.94716,Healthy
801,102.433186,2.946908,Healthy
802,102.436545,2.945773,Healthy
803,102.436304,2.945767,Healthy
804,102.436499,2.945843,Healthy
805,102.434853,2.94528,Healthy
806,102.437473,2.946867,Healthy
807,102.431682,2.947434,Healthy
808,102.431641,2.947636,Healthy
809,102.432983,2.946835,Healthy
810,102.434962,2.945747,Healthy
811,102.436261,2.945698,Healthy
812,102.436079,2.944949,Healthy
813,102.434927,2.945825,Healthy
