n_plots,pos_plots,pr_auc,pr_std,bal,rec,f1,loc,s,thr,sel
86,13,0.3137406201922331,0.15140295785457075,0.5,0.0,0.0,Palong_Basemap,7,0.2,mi30
86,13,0.3321787490393812,0.17394599041869158,0.5,0.0,0.0,Palong_Basemap,7,0.2,mi50
86,10,0.2796326222796811,0.0005261078790490537,0.5,0.0,0.0,Palong_Basemap,7,0.3,raw
86,10,0.372293391994479,0.08603994133885437,0.5,0.0,0.0,Palong_Basemap,7,0.3,mi30
86,10,0.2897266948737537,0.04873484358778478,0.5,0.0,0.0,Palong_Basemap,7,0.3,mi50
62,36,0.7842231710468606,0.15042465975481628,0.5780727424749164,0.5936454849498328,0.5208333333333333,Palong_Basemap,8,0.0,raw
62,36,0.80018788961822,0.16800417472769064,0.5975473801560758,0.5284280936454849,0.5150862068965517,Palong_Basemap,8,0.0,mi30
62,36,0.7920398092410994,0.18314526209781795,0.5672031772575251,0.5719063545150501,0.510576923076923,Palong_Basemap,8,0.0,mi50
62,24,0.474159014724965,0.278347023922378,0.4145833333333333,0.0625,0.043478260869565216,Palong_Basemap,8,0.1,raw
62,24,0.4814123644519096,0.2574010413451918,0.5229166666666667,0.3125,0.1724137931034483,Palong_Basemap,8,0.1,mi30
62,24,0.5237787573265514,0.19192324900045488,0.4770833333333333,0.1875,0.12,Palong_Basemap,8,0.1,mi50
62,11,0.41058874458874456,0.150017316017316,0.5,0.0,0.0,Palong_Basemap,8,0.2,raw
62,11,0.5150396825396826,0.018690476190476174,0.5,0.0,0.0,Palong_Basemap,8,0.2,mi30
62,11,0.5515663885229102,0.08648074952422777,0.5,0.0,0.0,Palong_Basemap,8,0.2,mi50
62,6,0.1397907647907648,0.005663780663780663,0.5,0.0,0.0,Palong_Basemap,8,0.3,raw
62,6,0.3324404761904762,0.20922619047619045,0.5,0.0,0.0,Palong_Basemap,8,0.3,mi30
62,6,0.1344643500950216,0.035990195359523865,0.5,0.0,0.0,Palong_Basemap,8,0.3,mi50
158,77,0.5365236911576143,0.07254030718117976,0.532544954185821,0.16461456671982988,0.23717627401837926,Serting_Basemap,4,0.0,raw
158,77,0.509540144163859,0.06184706449453353,0.5166069362354192,0.12293460925039872,0.2015151515151515,Serting_Basemap,4,0.0,mi30
158,77,0.4937712809180872,0.0570616933113323,0.5078494364252878,0.10902711323763954,0.17661782216714053,Serting_Basemap,4,0.0,mi50
158,60,0.3627006037416176,0.06061318657237702,0.49572649572649574,0.0,0.0,Serting_Basemap,4,0.1,raw
158,60,0.394046122545544,0.08333510082735969,0.47785547785547783,0.0,0.0,Serting_Basemap,4,0.1,mi30
158,60,0.3976332461090875,0.06909639746540584,0.5074786324786325,0.027777777777777776,0.047619047619047616,Serting_Basemap,4,0.1,mi50
158,29,0.3032065654900969,0.04125577457808461,0.5,0.0,0.0,Serting_Basemap,4,0.2,raw
158,29,0.29709010961498533,0.07377908419832947,0.5,0.0,0.0,Serting_Basemap,4,0.2,mi30
158,29,0.2167496686673618,0.07071624097250087,0.5,0.0,0.0,Serting_Basemap,4,0.2,mi50
158,15,0.21499293303827618,0.08833595868670961,0.5,0.0,0.0,Serting_Basemap,4,0.3,raw
158,15,0.22629456614101007,0.15822240169837604,0.5,0.0,0.0,Serting_Basemap,4,0.3,mi30
158,15,0.22344276638270485,0.13812828500680896,0.5,0.0,0.0,Serting_Basemap,4,0.3,mi50
99,60,0.7006535376667705,0.04583005062480352,0.5925332383665717,0.5030864197530863,0.5838978015448604,Serting_Basemap,5,0.0,raw
99,60,0.6877311530045921,0.09061437438750902,0.46503188169854837,0.3289241622574956,0.40075633179081455,Serting_Basemap,5,0.0,mi30
99,60,0.7030363843396666,0.01955092591281985,0.5776014109347444,0.3681657848324515,0.446742944317315,Serting_Basemap,5,0.0,mi50
99,36,0.49233041560445806,0.10342075379714254,0.5,0.0,0.0,Serting_Basemap,5,0.1,raw
99,36,0.48800426862857926,0.11786841531245704,0.5,0.0,0.0,Serting_Basemap,5,0.1,mi30
99,36,0.493165340927745,0.07805427336518923,0.5247252747252747,0.04945054945054945,0.09206349206349207,Serting_Basemap,5,0.1,mi50
99,17,0.2252693904822388,0.0718163918054658,0.5,0.0,0.0,Serting_Basemap,5,0.2,raw
99,17,0.24388122618048716,0.07955351565751978,0.5,0.0,0.0,Serting_Basemap,5,0.2,mi30
99,17,0.2963585211085211,0.02980210684405103,0.5,0.0,0.0,Serting_Basemap,5,0.2,mi50
99,8,0.23616178029287785,0.06513692100582344,0.5,0.0,0.0,Serting_Basemap,5,0.3,raw
99,8,0.21182155657962107,0.09373399897593444,0.5,0.0,0.0,Serting_Basemap,5,0.3,mi30
99,8,0.17611557649667406,0.05839371502481259,0.5,0.0,0.0,Serting_Basemap,5,0.3,mi50
69,56,0.8645071678083213,0.04245460388746999,0.5458152958152959,0.6805194805194805,0.7492063492063492,Serting_Basemap,6,0.0,raw
69,56,0.8374568107875561,0.06296974176606827,0.5788600288600289,0.7354978354978354,0.784621578099839,Serting_Basemap,6,0.0,mi30
69,56,0.862263074089359,0.0386433135141562,0.6566017316017315,0.6465367965367965,0.7475129651978212,Serting_Basemap,6,0.0,mi50
69,24,0.4197963963280169,0.06039706797362927,0.5151515151515151,0.030303030303030304,0.05555555555555555,Serting_Basemap,6,0.1,raw
69,24,0.4653564013765407,0.02082810170734361,0.5,0.0,0.0,Serting_Basemap,6,0.1,mi30
69,24,0.4520540852062591,0.04092980616280592,0.5,0.0,0.0,Serting_Basemap,6,0.1,mi50
69,7,0.12844034425364348,0.013533511955506838,0.5,0.0,0.0,Serting_Basemap,6,0.2,raw
69,7,0.10632900432900433,0.015059163059163064,0.5,0.0,0.0,Serting_Basemap,6,0.2,mi30
69,7,0.12215202157693082,0.033263132688041944,0.5,0.0,0.0,Serting_Basemap,6,0.2,mi50
54,44,0.9021373559468566,0.06922223233432846,0.5243055555555557,0.7152777777777778,0.7532768703367615,Serting_Basemap,7,0.0,raw
54,44,0.8608659303802493,0.10026919906598597,0.576388888888889,0.8194444444444445,0.8135408135408135,Serting_Basemap,7,0.0,mi30
54,44,0.8679171828988005,0.10109084896077457,0.5347222222222223,0.8194444444444445,0.8084121272975762,Serting_Basemap,7,0.0,mi50
54,17,0.4433916229968861,0.19270611639319396,0.4901960784313726,0.0,0.0,Serting_Basemap,7,0.1,raw
54,17,0.4112679384107955,0.2097755241149009,0.5,0.0,0.0,Serting_Basemap,7,0.1,mi30
54,17,0.5350992922421494,0.1230124982321314,0.5,0.0,0.0,Serting_Basemap,7,0.1,mi50
42,37,0.8977080899699947,0.07303335104704069,0.537878787878788,0.7424242424242425,0.7851851851851851,Serting_Basemap,8,0.0,raw
42,37,0.953176516244698,0.03505359493690464,0.6190476190476191,0.9047619047619048,0.892914653784219,Serting_Basemap,8,0.0,mi30
42,37,0.9115160272627806,0.07448606162619464,0.5800865800865801,0.8268398268398268,0.8417508417508417,Serting_Basemap,8,0.0,mi50
42,16,0.44568238778765096,0.20222309374583428,0.4895833333333333,0.0,0.0,Serting_Basemap,8,0.1,raw
42,16,0.5676575276575276,0.23025133874996334,0.5,0.0,0.0,Serting_Basemap,8,0.1,mi30
42,16,0.48770202020202014,0.16189457094900792,0.4791666666666667,0.0,0.0,Serting_Basemap,8,0.1,mi50
